Step,AUROC,Precision,Recall,F1 score,Random Seed
1276,0.3098642493463983,0.12337824351297405,0.5552020958083832,0.20189167120304843,42
1276,0.30983634009893135,0.12337824351297405,0.5552020958083832,0.20189167120304843,42
1277,0.30983634009893135,0.12337824351297405,0.5552020958083832,0.20189167120304843,42
1277,0.30983634009893135,0.12337824351297405,0.5552020958083832,0.20189167120304843,42
0,0.3066325348344292,0.12325349301397205,0.5546407185628742,0.20168753402286335,42
0,0.3066325348344292,0.12325349301397205,0.5546407185628742,0.20168753402286335,42
1277,0.125,0.16666666666666666,0.75,0.27272727272727276,42
1277,0.28438541459030553,0.18106312292358803,0.8164794007490637,0.2963970088375255,42
1277,0.28438541459030553,0.18106312292358803,0.8164794007490637,0.2963970088375255,42
1496,0.28449731952706175,0.18106312292358803,0.8164794007490637,0.2963970088375255,42
14266,0.3446122278156076,0.12462574850299402,0.5608158682634731,0.20393304300489928,42
27036,0.4169640034738407,0.1260395874916833,0.5671781437125748,0.20624659771366358,42
28313,0.4195655060030264,0.1260395874916833,0.5671781437125748,0.20624659771366358,42
28357,0.2728382239287725,0.16777408637873753,0.7565543071161048,0.274643099932019,42
28423,0.2731214832999367,0.16777408637873753,0.7565543071161048,0.274643099932019,42
